#ies_format_version: 1.0
#file: 20250718_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250718;	105010;	1752816010.000;	 err32;	 err32;	    err32
20250718;	105015;	1752816015.000;	 err32;	 err32;	    err32
20250718;	105020;	1752816020.000;	 err32;	 err32;	    err32
20250718;	105025;	1752816025.000;	 err32;	 err32;	    err32
20250718;	105030;	1752816030.000;	 err32;	 err32;	    err32
20250718;	105035;	1752816035.000;	 err32;	 err32;	    err32
20250718;	105040;	1752816040.000;	 err32;	 err32;	    err32
20250718;	105045;	1752816045.000;	 err32;	 err32;	    err32
20250718;	105050;	1752816050.000;	 err32;	 err32;	    err32
20250718;	105055;	1752816055.000;	 err32;	 err32;	    err32
20250718;	105100;	1752816060.000;	 err32;	 err32;	    err32
20250718;	105105;	1752816065.000;	 err32;	 err32;	    err32
20250718;	105110;	1752816070.000;	 err32;	 err32;	    err32
20250718;	105115;	1752816075.000;	 err32;	 err32;	    err32
20250718;	105120;	1752816080.000;	 err32;	 err32;	    err32
20250718;	105125;	1752816085.000;	 err32;	 err32;	    err32
20250718;	105130;	1752816090.000;	 err32;	 err32;	    err32
20250718;	105135;	1752816095.000;	 err32;	 err32;	    err32
20250718;	105140;	1752816100.000;	 err32;	 err32;	    err32
20250718;	105145;	1752816105.000;	 err32;	 err32;	    err32
20250718;	105150;	1752816110.000;	 err32;	 err32;	    err32
20250718;	105155;	1752816115.000;	 err32;	 err32;	    err32
20250718;	105200;	1752816120.000;	 err32;	 err32;	    err32
20250718;	105205;	1752816125.000;	 err32;	 err32;	    err32
20250718;	105210;	1752816130.000;	 err32;	 err32;	    err32
20250718;	105215;	1752816135.000;	 err32;	 err32;	    err32
20250718;	105220;	1752816140.000;	 err32;	 err32;	    err32
20250718;	105225;	1752816145.000;	 err32;	 err32;	    err32
20250718;	105230;	1752816150.000;	 err32;	 err32;	    err32
20250718;	105235;	1752816155.000;	 err32;	 err32;	    err32
20250718;	105240;	1752816160.000;	 err32;	 err32;	    err32
20250718;	105245;	1752816165.000;	 err32;	 err32;	    err32
20250718;	105250;	1752816170.000;	 err32;	 err32;	    err32
20250718;	105255;	1752816175.000;	 err32;	 err32;	    err32
20250718;	105300;	1752816180.000;	 err32;	 err32;	    err32
20250718;	105305;	1752816185.000;	 err32;	 err32;	    err32
20250718;	105310;	1752816190.000;	 err32;	 err32;	    err32
20250718;	105315;	1752816195.000;	 err32;	 err32;	    err32
20250718;	105320;	1752816200.000;	 err32;	 err32;	    err32
20250718;	105325;	1752816205.000;	 err32;	 err32;	    err32
20250718;	105330;	1752816210.000;	 err32;	 err32;	    err32
20250718;	105335;	1752816215.000;	 err32;	 err32;	    err32
20250718;	105340;	1752816220.000;	 err32;	 err32;	    err32
20250718;	105345;	1752816225.000;	 err32;	 err32;	    err32
20250718;	105350;	1752816230.000;	 err32;	 err32;	    err32
20250718;	105355;	1752816235.000;	 err32;	 err32;	    err32
20250718;	105400;	1752816240.000;	 err32;	 err32;	    err32
20250718;	105405;	1752816245.000;	 err32;	 err32;	    err32
20250718;	105410;	1752816250.000;	 err32;	 err32;	    err32
20250718;	105415;	1752816255.000;	 err32;	 err32;	    err32
20250718;	105420;	1752816260.000;	 err32;	 err32;	    err32
20250718;	105425;	1752816265.000;	 err32;	 err32;	    err32
20250718;	105430;	1752816270.000;	 err32;	 err32;	    err32
20250718;	105435;	1752816275.000;	 err32;	 err32;	    err32
20250718;	105440;	1752816280.000;	 err32;	 err32;	    err32
20250718;	105445;	1752816285.000;	 err32;	 err32;	    err32
20250718;	105450;	1752816290.000;	 err32;	 err32;	    err32
20250718;	105455;	1752816295.000;	 err32;	 err32;	    err32
20250718;	105500;	1752816300.000;	 err32;	 err32;	    err32
20250718;	105505;	1752816305.000;	 err32;	 err32;	    err32
20250718;	105510;	1752816310.000;	 err32;	 err32;	    err32
20250718;	105515;	1752816315.000;	 err32;	 err32;	    err32
20250718;	105520;	1752816320.000;	 err32;	 err32;	    err32
20250718;	105525;	1752816325.000;	 err32;	 err32;	    err32
20250718;	105530;	1752816330.000;	 err32;	 err32;	    err32
20250718;	105535;	1752816335.000;	 err32;	 err32;	    err32
20250718;	105540;	1752816340.000;	 err32;	 err32;	    err32
20250718;	105545;	1752816345.000;	 err32;	 err32;	    err32
